,Name,Artist,GrammyAward,Avg.rank,Peak.position,Weeks.on.chart,Danceability,Energy,Tempo,Valence,REGGAETON,BOY BAND,DMV,EMO,FUNK,ALTERNATIVE R&B,INDIE POP,CLOUD RAP,MOTOWN,LATIN MUSIC,LATIN POP,DISNEY,REMIX,DANCEHALL,NEO SOUL,TV,INDIE ROCK,POP-PUNK,SYNTH-POP,ATLANTA,EN ESPA\XC3\XB1OL,MEMES,ALTERNATIVE POP,WEST COAST,ADULT CONTEMPORARY,PRODUCER,EAST COAST,SOUL POP,BALLAD,COVER,ADULT ALTERNATIVE,ALTERNATIVE,SCREEN,DANCE,DANCE-POP,UK,SOUL,HIP-HOP,ELECTRONIC,ELECTRO-POP,CANADA,SOUNDTRACK,ALTERNATIVE ROCK,POP-ROCK,TRAP,COUNTRY,R&B,ROCK,RAP,POP
55,CITIZEN/SOLDIER,3 DOORS DOWN,0,97.5,96.0,2.0,0.631,0.821,97.00299999999999,0.486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
56,HERE WITHOUT YOU,3 DOORS DOWN,0,23.76,5.0,51.0,0.557,0.5329999999999999,143.994,0.233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
57,IT'S NOT MY TIME,3 DOORS DOWN,0,44.93103448275862,17.0,29.0,0.27699999999999997,0.21600000000000003,75.258,0.36200000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
58,KRYPTONITE,3 DOORS DOWN,0,26.711538461538463,3.0,53.0,0.545,0.865,99.009,0.5429999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
59,LET ME GO,3 DOORS DOWN,0,34.63333333333333,14.0,31.0,0.37200000000000005,0.833,184.38299999999998,0.502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
60,LOSER,3 DOORS DOWN,0,67.1,55.0,20.0,0.493,0.88,147.91299999999998,0.389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
61,WHEN I'M GONE,3 DOORS DOWN,0,26.162790697674414,4.0,45.0,0.53,0.768,148.095,0.374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
62,WHEN YOU'RE YOUNG,3 DOORS DOWN,0,81.0,100.0,1.0,0.462,0.778,77.00399999999999,0.21899999999999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
63,LOVE SONG,311,0,74.42105263157895,59.0,20.0,0.625,0.6859999999999999,139.817,0.556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
64,PLAYAS GON' PLAY,3LW,0,87.0,81.0,7.0,0.6559999999999999,0.7240000000000001,185.748,0.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
65,DEJA VU,3OH!3,0,75.0,100.0,1.0,0.654,0.8170000000000001,127.991,0.794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
66,DON'T TRUST ME,3OH!3,0,39.810810810810814,7.0,37.0,0.516,0.44799999999999995,89.682,0.494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
67,DOUBLE VISION,3OH!3,0,88.75,87.0,4.0,0.581,0.888,120.041,0.629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
68,FOLLOW ME DOWN,3OH!3,0,89.0,89.0,2.0,0.779,0.6709999999999999,113.036,0.7140000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
69,HIT IT AGAIN,3OH!3,0,66.0,100.0,1.0,0.462,0.767,86.551,0.685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
70,I CAN DO ANYTHING,3OH!3,0,100.0,100.0,1.0,0.54,0.9059999999999999,169.94,0.43799999999999994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
71,SET YOU FREE,3OH!3,0,84.0,100.0,1.0,0.612,0.807,79.999,0.617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
72,STARSTRUKK,3OH!3,0,78.33333333333333,66.0,12.0,0.607,0.805,139.894,0.23199999999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
73,AMNESIA,5 SECONDS OF SUMMER,0,52.5,16.0,20.0,0.5720000000000001,0.499,101.59299999999999,0.10800000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
